Iteration,"DAs_load
E_DAs_L","DAs_generation
E_DAs_G","DAs_demand_bid
b_t","DAs_supply_offer
o_t",EVs_Charge,EVs_Discharge,TCL_Power,SL_Power,Inflexible_loads,Solar_Power,Gen1,Gen2,Gen3,Gen4,CDA1_supply,CDA2_supply,CDA3_supply,CDA4_supply,CDA5_supply,CDA6_supply,CDA7_supply,CDA8_supply,CDA1_demand,CDA2_demand,CDA3_demand,CDA4_demand,CDA5_demand,CDA6_demand,CDA7_demand,CDA8_demand,Bus1_price,Bus2_price,Bus3_price,Bus4_price,Bus5_price,Bus6_price,Theta_bus_1,Theta_bus_2,Theta_bus_3,Theta_bus_4,Theta_bus_5,Theta_bus_6
0,0.07515311514894203,0.0,0.07515311514894203,0.0,0.07177304964538991,0.0,0.0,0.216648,1.1719679053333334,0.017184808028253635,0.09473011514894203,5.551115123125783e-17,0.0,0.0,0.012161,0.017637,0.00706,0.030776,0.019456,0.009223,0.0,0.009855,0.021189,0.033204,0.014105,0.008327,0.013974,0.014119,0.007414,0.013413,15.000000000000002,15.000000000000007,15.000000000000007,14.999999999999998,14.999999999999998,15.000000000000009,0.0,-0.010436952865799713,-0.013053448528350506,-0.008600563367172808,-0.010261868242933408,-0.0143263360189322
0,0.10222216843839757,0.0,0.10222216843839757,0.0,0.0,0.0,0.0,0.0,2.044999446666667,0.0005560778987160469,0.04703916843839766,0.0,0.0,0.0,0.006984,0.028693,0.024331,0.028711999999999988,0.031157,0.025704,0.010173,0.014015,0.012339,0.032369,0.017977,0.014771,0.017426,0.000118,0.015343,0.004243,15.0,15.000000000000005,15.000000000000007,14.999999999999995,15.000000000000002,15.000000000000007,0.0,-0.006572365579597729,-0.008831269431677568,-0.0021614770776501482,-0.002901987457205254,-0.009930193651921104
0,0.2979650806070922,0.0,0.2979650806070922,0.0,0.31035460992907793,0.0,0.0,1.3816213333333334,2.6117228320000003,0.0,0.28810708060709245,0.0,0.0,0.0,0.031222,0.024024,0.010391,0.001686,0.023873,0.008731999999999778,0.007587,0.022577,0.008899,0.000383,0.006705,0.018344,0.006809,0.021237,0.026512,0.031345,15.000000000000005,15.00000000000001,15.000000000000012,15.000000000000002,15.000000000000002,15.000000000000012,0.0,-0.030370994201614272,-0.03738171212202591,-0.028238582124746295,-0.032039240998173873,-0.04079232551176457
0,0.35713962046241166,0.0,0.35713962046241166,0.0,0.4916312056737583,0.0,0.0,2.099262666666667,2.703104210666667,0.0,0.4493776204624125,0.0,0.0,0.0,0.020304,0.0,0.021663,0.0,0.013193,0.0,0.006438,0.020517,0.021601,0.022724,0.033172,0.033309,0.007956,0.024708,0.000789,0.030094,15.000000000000002,15.000000000000007,15.000000000000007,14.999999999999998,14.999999999999998,15.000000000000009,0.0,-0.04687974883793822,-0.0574752703471335,-0.044791585629031155,-0.049358554239435255,-0.06262983910040087
0,0.371719757785816,0.0,0.371719757785816,0.0,0.5529078014184394,0.0,0.0,2.219572000000001,2.6800713826666667,0.0,0.3396417577858164,0.0,0.0,0.0,0.024303999999999666,0.021365,0.017253,0.030879,0.01,0.000321999999999778,0.028812,0.018265,0.005705,0.008894,0.014603,0.0323,0.02239,0.014256,0.010942,0.010032,15.000000000000004,15.000000000000007,15.000000000000007,15.0,15.0,15.000000000000009,0.0,-0.0366080595420933,-0.04542832057588186,-0.032068758600466145,-0.035402297758553,-0.04971925065242146
0,0.38627241988368816,0.0,0.38627241988368816,0.0,0.45276595744680875,0.0,0.0,2.828470666666668,2.6320131920000005,0.0,0.3920614198836885,2.220446049250313e-16,0.0,0.0,0.012649,0.014492,0.0,0.005544,0.0,0.029437,0.009304,0.009564,0.005447,0.003718,0.004033,0.02829,0.010539,0.002508,0.03223,1.4e-05,15.000000170210605,15.000000170210608,15.000000170210608,15.0000001702106,15.0000001702106,15.00000017021061,0.0,-0.041616354172014675,-0.05135480536325079,-0.03799209961357826,-0.04137916808355829,-0.056092421739377375
0,0.1637531868794324,0.0,0.1637531868794324,0.0,0.6453900709219851,0.0,0.0,0.0,2.629673666666667,0.0,0.1616011868794326,2.220446049250313e-16,0.0,0.0,0.021333,0.031794,0.01961,0.007125,0.015276,0.018186,0.013323,0.019333,0.032984,0.015124,0.01127,0.016188,0.002418,0.030131,0.021383,0.01433,15.000000000000002,15.000000000000002,15.0,15.000000000000005,15.000000000000007,14.999999999999998,0.0,-0.017443919386197625,-0.021658435297669018,-0.015219059721894657,-0.017432789153207617,-0.023708736645136008
0,0.1904064811177304,0.0,0.1904064811177304,0.0,0.3449645390070921,0.0,0.0,0.0,2.1999026720000003,0.0,0.28626548111773065,0.0,0.0,0.0,0.0,0.00878,0.007341,0.001955,0.03320299999999987,0.019417,0.017874,2.220446049250313e-16,0.018565,0.029195,0.00767,0.013368,0.033282,0.02782,0.032705,0.021824,15.0,15.00000000000001,15.00000000000001,15.000000000000002,15.0,15.00000000000001,0.0,-0.029661571157103998,-0.036271666991116475,-0.028840107054484542,-0.03238446717628405,-0.03948738350044866
0,0.10058243291347523,0.0,0.10058243291347523,0.0,0.35971631205673754,0.0,0.0,0.0,1.3563295093333334,0.0,0.10576243291347528,0.0,0.0,0.0,0.025867,0.005954999999999945,0.021037,0.032844,0.007105,0.0042480000000000295,0.003845,0.007123,0.028095,0.016686,0.002366,0.012632,0.002442,0.004936,0.031308,0.014739,15.0,15.000000000000007,15.000000000000007,15.0,14.999999999999996,15.000000000000007,0.0,-0.011806250777586654,-0.014833667722579134,-0.009368767631424038,-0.011865768228647686,-0.01630646250424492
0,0.8458558740723414,0.0,0.8458558740723414,0.0,4.350070921985815,0.0,0.0,0.0,0.504351524,0.0,0.8431308740723421,0.0,0.0,0.0,0.00107,0.0,0.03018099999999979,0.026136,0.031109,0.0,0.005952,0.030039,0.007635,0.030421,0.007631,0.00884,0.00884,0.010275,0.032347,0.015773,15.0,15.000000000000004,15.000000000000004,14.999999999999995,14.999999999999993,15.000000000000004,0.0,-0.0921224256002021,-0.11487840573495797,-0.07771669703862571,-0.08845484773867734,-0.12594886263042931
