,offer_01,offer_02,offer_03,offer_04,offer_05,offer_06,offer_07,offer_08,offer_09,bids_01,bids_02,bids_03,bids_04,bids_05,bids_06,bids_07,bids_08,bids_09,Time,Iteration
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001884,0.001282,0.00207,0.000435,0.001504,0.000669,0.001188,0.000542,0.000678,16,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008675,0.008608,0.006859,0.009809,0.003637,0.007996,0.007021,0.007939,0.007767,17,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008172,0.000869,0.000999,0.00418,0.00893,0.000618,0.00998,0.013659,0.011566,18,0
3,0.001639,0.001707,0.000164,0.004213,0.003026,0.003318,0.004468,0.010003,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014825,0.000408,0.006536,0.016357,0.004775,0.031397,0.011576,0.001137,0.010774,20,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014114,0.029118,0.025546,0.032863,0.032944,0.021797,0.009391,0.034911,0.02677,21,0
6,0.0,0.0,0.006314,0.0,0.0,0.00198,0.0,0.0,0.0,0.002152,0.019546,0.0,0.001759,0.012183,0.0,0.01984,0.015955,0.002892,22,0
7,0.001676,0.010786,0.00583,0.0,0.003154,0.005006,0.009558,0.021401,0.013054,0.0,0.0,0.0,0.002399,0.0,0.0,0.0,0.0,0.0,23,0
8,0.003979,0.0,0.0,3.5e-05,0.006176,0.0,0.0,0.0,0.0,0.0,0.009342,0.017845,0.0,0.0,0.002451,0.007802,0.028622,0.01473,24,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015572,0.032032,0.028048,0.012394,0.014023,0.012675,0.015253,0.019591,0.020678,25,0
10,0.004959,0.001435,0.004698,0.0,0.005033,0.004454,0.010797,0.005858,0.002338,0.0,0.0,0.0,0.000142,0.0,0.0,0.0,0.0,0.0,26,0
11,0.0,9.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000479,0.01817,0.0,0.014595,0.000133,0.012606,0.020936,0.019117,0.003004,0.0,27,0
12,0.0009,0.001148,0.000203,0.0,0.000988,0.001222,0.000717,0.002395,0.002028,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.0,0.0,28,0
13,0.001535,0.004852,0.00146,0.0,0.00127,0.001396,0.0,0.002659,0.001679,0.0,0.0,0.0,0.000387,0.0,0.0,0.000176,0.0,0.0,29,0
14,0.000862,0.000931,0.0,0.0,0.000915,0.000849,0.0,0.001502,0.001565,0.0,0.0,0.001467,0.000339,0.0,0.0,0.000573,0.0,0.0,30,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009522,0.018362,0.000999,0.018531,0.011088,0.015219,0.005476,0.016185,0.01282,31,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021652,0.023931,0.018311,0.011692,0.022771,0.024321,0.020383,0.022979,0.016426,32,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001792,0.001719,0.004819,0.00143,0.002137,0.003506,0.002033,0.002056,0.00402,33,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005574,0.005461,0.010495,0.019031,0.003766,0.003835,0.008021,0.006059,0.011531,34,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00209,0.001984,0.001657,0.002729,0.002505,0.002273,0.001911,0.002643,0.001729,35,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001647,0.001581,0.001634,0.001485,0.001705,0.001575,0.001415,0.001682,0.001614,36,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001473,0.001457,0.00165,0.00146,0.001719,0.001695,0.001359,0.001545,0.001592,37,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0015,0.002402,0.001468,0.001566,0.001555,0.001508,0.001526,0.002285,38,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001633,0.001558,0.001695,0.001437,0.001438,0.001468,0.001374,0.001477,0.001388,39,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001884,0.001282,0.00207,0.000435,0.001504,0.000669,0.001188,0.000542,0.000678,16,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008675,0.008608,0.006859,0.009809,0.003637,0.007996,0.007021,0.007939,0.007767,17,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008172,0.000869,0.000999,0.00418,0.00893,0.000618,0.00998,0.013659,0.011566,18,1
3,0.001639,0.001707,0.000164,0.004213,0.003026,0.003318,0.004468,0.010003,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014825,0.000408,0.006536,0.016357,0.004775,0.031397,0.011576,0.001137,0.010774,20,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014114,0.029118,0.025546,0.032863,0.032944,0.021797,0.009391,0.034911,0.02677,21,1
6,0.0,0.0,0.006314,0.0,0.0,0.00198,0.0,0.0,0.0,0.002152,0.019546,0.0,0.001759,0.012183,0.0,0.01984,0.015955,0.002892,22,1
7,0.001676,0.010786,0.00583,0.0,0.003154,0.005006,0.009558,0.021401,0.013054,0.0,0.0,0.0,0.002399,0.0,0.0,0.0,0.0,0.0,23,1
8,0.003979,0.0,0.0,3.5e-05,0.006176,0.0,0.0,0.0,0.0,0.0,0.009342,0.017845,0.0,0.0,0.002451,0.007802,0.028622,0.01473,24,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015572,0.032032,0.028048,0.012394,0.014023,0.012675,0.015253,0.019591,0.020678,25,1
10,0.004959,0.001435,0.004698,0.0,0.005033,0.004454,0.010797,0.005858,0.002338,0.0,0.0,0.0,0.000142,0.0,0.0,0.0,0.0,0.0,26,1
11,0.0,9.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000479,0.01817,0.0,0.014595,0.000133,0.012606,0.020936,0.019117,0.003004,0.0,27,1
12,0.0009,0.001148,0.000203,0.0,0.000988,0.001222,0.000717,0.002395,0.002028,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.0,0.0,28,1
13,0.001535,0.004852,0.00146,0.0,0.00127,0.001396,0.0,0.002659,0.001679,0.0,0.0,0.0,0.000387,0.0,0.0,0.000176,0.0,0.0,29,1
14,0.000862,0.000931,0.0,0.0,0.000915,0.000849,0.0,0.001502,0.001565,0.0,0.0,0.001467,0.000339,0.0,0.0,0.000573,0.0,0.0,30,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009522,0.018362,0.000999,0.018531,0.011088,0.015219,0.005476,0.016185,0.01282,31,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021652,0.023931,0.018311,0.011692,0.022771,0.024321,0.020383,0.022979,0.016426,32,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001792,0.001719,0.004819,0.00143,0.002137,0.003506,0.002033,0.002056,0.00402,33,1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005574,0.005461,0.010495,0.019031,0.003766,0.003835,0.008021,0.006059,0.011531,34,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00209,0.001984,0.001657,0.002729,0.002505,0.002273,0.001911,0.002643,0.001729,35,1
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001647,0.001581,0.001634,0.001485,0.001705,0.001575,0.001415,0.001682,0.001614,36,1
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001473,0.001457,0.00165,0.00146,0.001719,0.001695,0.001359,0.001545,0.001592,37,1
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0015,0.002402,0.001468,0.001566,0.001555,0.001508,0.001526,0.002285,38,1
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001633,0.001558,0.001695,0.001437,0.001438,0.001468,0.001374,0.001477,0.001388,39,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001884,0.001282,0.00207,0.000435,0.001504,0.000669,0.001188,0.000542,0.000678,16,2
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008675,0.008608,0.006859,0.009809,0.003637,0.007996,0.007021,0.007939,0.007767,17,2
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008172,0.000869,0.000999,0.00418,0.00893,0.000618,0.00998,0.013659,0.011566,18,2
3,0.001639,0.001707,0.000164,0.004213,0.003026,0.003318,0.004468,0.010003,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014825,0.000408,0.006536,0.016357,0.004775,0.031397,0.011576,0.001137,0.010774,20,2
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014114,0.029118,0.025546,0.032863,0.032944,0.021797,0.009391,0.034911,0.02677,21,2
6,0.0,0.0,0.006314,0.0,0.0,0.00198,0.0,0.0,0.0,0.002152,0.019546,0.0,0.001759,0.012183,0.0,0.01984,0.015955,0.002892,22,2
7,0.001676,0.010786,0.00583,0.0,0.003154,0.005006,0.009558,0.021401,0.013054,0.0,0.0,0.0,0.002399,0.0,0.0,0.0,0.0,0.0,23,2
8,0.003979,0.0,0.0,3.5e-05,0.006176,0.0,0.0,0.0,0.0,0.0,0.009342,0.017845,0.0,0.0,0.002451,0.007802,0.028622,0.01473,24,2
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015572,0.032032,0.028048,0.012394,0.014023,0.012675,0.015253,0.019591,0.020678,25,2
10,0.004959,0.001435,0.004698,0.0,0.005033,0.004454,0.010797,0.005858,0.002338,0.0,0.0,0.0,0.000142,0.0,0.0,0.0,0.0,0.0,26,2
11,0.0,9.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000479,0.01817,0.0,0.014595,0.000133,0.012606,0.020936,0.019117,0.003004,0.0,27,2
12,0.0009,0.001148,0.000203,0.0,0.000988,0.001222,0.000717,0.002395,0.002028,0.0,0.0,0.0,0.000121,0.0,0.0,0.0,0.0,0.0,28,2
13,0.001535,0.004852,0.00146,0.0,0.00127,0.001396,0.0,0.002659,0.001679,0.0,0.0,0.0,0.000387,0.0,0.0,0.000176,0.0,0.0,29,2
14,0.000862,0.000931,0.0,0.0,0.000915,0.000849,0.0,0.001502,0.001565,0.0,0.0,0.001467,0.000339,0.0,0.0,0.000573,0.0,0.0,30,2
