,offer_01,offer_02,offer_03,offer_04,offer_05,offer_06,offer_07,offer_08,offer_09,bids_01,bids_02,bids_03,bids_04,bids_05,bids_06,bids_07,bids_08,bids_09,Time,Iteration
14,0.000835,0.000931,0.0,0.0,0.000915,0.000874,0.0,0.001502,0.001565,0.0,0.0,0.001349,0.000279,0.0,0.0,0.000548,0.0,0.0,30,6
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009522,0.018362,0.000999,0.018531,0.011088,0.015219,0.005476,0.016185,0.01282,31,6
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021652,0.023931,0.018311,0.023372,0.022771,0.024321,0.020383,0.022979,0.016426,32,6
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001792,0.001719,0.004819,0.00143,0.002137,0.003506,0.002033,0.002056,0.00402,33,6
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005574,0.005461,0.01049,0.007332,0.003766,0.003835,0.008021,0.006059,0.011531,34,6
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00209,0.001984,0.001657,0.002729,0.002505,0.002273,0.001911,0.002643,0.001729,35,6
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001647,0.001581,0.001634,0.001485,0.001705,0.001575,0.001415,0.001682,0.001614,36,6
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001473,0.001457,0.00165,0.00146,0.001719,0.001695,0.001359,0.001545,0.001592,37,6
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0015,0.002402,0.001468,0.001566,0.001555,0.001508,0.001526,0.002285,38,6
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001633,0.001558,0.001695,0.001437,0.001438,0.001468,0.001374,0.001477,0.001388,39,6
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001884,0.001282,0.00207,0.000494,0.001504,0.000679,0.001188,0.000542,0.000678,16,7
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008675,0.008608,0.006859,0.009835,0.003637,0.007996,0.007021,0.007939,0.007767,17,7
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008172,0.000869,0.000956,0.00418,0.00893,0.000442,0.00998,0.013659,0.011566,18,7
3,0.001116,0.001707,0.00046,0.004204,0.003026,0.003429,0.0046,0.010003,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,7
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014825,0.000408,0.006536,0.016357,0.004775,0.031397,0.011576,0.001137,0.010774,20,7
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014114,0.029118,0.025546,0.032863,0.032944,0.021797,0.009391,0.034911,0.02677,21,7
6,0.0,0.0,0.006602,0.0,0.0,0.001438,0.0,0.0,0.0,0.002152,0.019546,0.0,0.001,0.012183,0.0,0.01984,0.015955,0.002892,22,7
7,0.001614,0.010786,0.005546,0.0,0.003152,0.004253,0.009567,0.021401,0.013054,0.0,0.0,0.0,0.002336,0.0,0.0,0.0,0.0,0.0,23,7
8,0.004795,0.0,0.0,0.0,0.006176,0.0,0.0,0.0,0.0,0.0,0.009342,0.017845,0.000525,0.0,0.002451,0.007802,0.028622,0.01473,24,7
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015572,0.032032,0.028048,0.012394,0.014023,0.012675,0.015253,0.019591,0.020678,25,7
10,0.004435,0.001435,0.003845,0.0,0.005071,0.004981,0.010631,0.005834,0.002338,0.0,0.0,0.0,6.4e-05,0.0,0.0,0.0,0.0,0.0,26,7
11,0.0,9.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000479,0.01817,0.0,0.014595,0.0,0.012606,0.020936,0.019117,0.003004,0.0,27,7
12,0.001689,0.001148,0.000581,0.0,0.000952,0.001454,0.000717,0.002395,0.002028,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.0,0.0,28,7
13,0.001066,0.004852,0.001475,0.0,0.00127,0.001628,0.0,0.002684,0.001679,0.0,0.0,0.0,0.000936,0.0,0.0,0.000176,0.0,0.0,29,7
14,0.000835,0.000931,0.0,0.0,0.000915,0.000874,0.0,0.001502,0.001565,0.0,0.0,0.001349,0.000279,0.0,0.0,0.000548,0.0,0.0,30,7
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009522,0.018362,0.000999,0.018531,0.011088,0.015219,0.005476,0.016185,0.01282,31,7
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021652,0.023931,0.018311,0.023372,0.022771,0.024321,0.020383,0.022979,0.016426,32,7
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001792,0.001719,0.004819,0.00143,0.002137,0.003506,0.002033,0.002056,0.00402,33,7
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005574,0.005461,0.01049,0.007332,0.003766,0.003835,0.008021,0.006059,0.011531,34,7
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00209,0.001984,0.001657,0.002729,0.002505,0.002273,0.001911,0.002643,0.001729,35,7
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001647,0.001581,0.001634,0.001485,0.001705,0.001575,0.001415,0.001682,0.001614,36,7
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001473,0.001457,0.00165,0.00146,0.001719,0.001695,0.001359,0.001545,0.001592,37,7
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0015,0.002402,0.001468,0.001566,0.001555,0.001508,0.001526,0.002285,38,7
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001633,0.001558,0.001695,0.001437,0.001438,0.001468,0.001374,0.001477,0.001388,39,7
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001884,0.001282,0.00207,0.000494,0.001504,0.000679,0.001188,0.000542,0.000678,16,8
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008675,0.008608,0.006859,0.009835,0.003637,0.007996,0.007021,0.007939,0.007767,17,8
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008172,0.000869,0.000956,0.00418,0.00893,0.000442,0.00998,0.013659,0.011566,18,8
3,0.001116,0.001707,0.00046,0.004204,0.003026,0.003429,0.0046,0.010003,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,8
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014825,0.000408,0.006536,0.016357,0.004775,0.031397,0.011576,0.001137,0.010774,20,8
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014114,0.029118,0.025546,0.032863,0.032944,0.021797,0.009391,0.034911,0.02677,21,8
6,0.0,0.0,0.006602,0.0,0.0,0.001438,0.0,0.0,0.0,0.002152,0.019546,0.0,0.001,0.012183,0.0,0.01984,0.015955,0.002892,22,8
7,0.001614,0.010786,0.005546,0.0,0.003152,0.004253,0.009567,0.021401,0.013054,0.0,0.0,0.0,0.002336,0.0,0.0,0.0,0.0,0.0,23,8
8,0.004795,0.0,0.0,0.0,0.006176,0.0,0.0,0.0,0.0,0.0,0.009342,0.017845,0.000525,0.0,0.002451,0.007802,0.028622,0.01473,24,8
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015572,0.032032,0.028048,0.012394,0.014023,0.012675,0.015253,0.019591,0.020678,25,8
10,0.004435,0.001435,0.003845,0.0,0.005071,0.004981,0.010631,0.005834,0.002338,0.0,0.0,0.0,6.4e-05,0.0,0.0,0.0,0.0,0.0,26,8
11,0.0,9.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000479,0.01817,0.0,0.014595,0.0,0.012606,0.020936,0.019117,0.003004,0.0,27,8
12,0.001689,0.001148,0.000581,0.0,0.000952,0.001454,0.000717,0.002395,0.002028,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.0,0.0,28,8
13,0.001066,0.004852,0.001475,0.0,0.00127,0.001628,0.0,0.002684,0.001679,0.0,0.0,0.0,0.000936,0.0,0.0,0.000176,0.0,0.0,29,8
14,0.000835,0.000931,0.0,0.0,0.000915,0.000874,0.0,0.001502,0.001565,0.0,0.0,0.001349,0.000279,0.0,0.0,0.000548,0.0,0.0,30,8
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009522,0.018362,0.000999,0.018531,0.011088,0.015219,0.005476,0.016185,0.01282,31,8
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021652,0.023931,0.018311,0.023372,0.022771,0.024321,0.020383,0.022979,0.016426,32,8
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001792,0.001719,0.004819,0.00143,0.002137,0.003506,0.002033,0.002056,0.00402,33,8
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005574,0.005461,0.01049,0.007332,0.003766,0.003835,0.008021,0.006059,0.011531,34,8
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00209,0.001984,0.001657,0.002729,0.002505,0.002273,0.001911,0.002643,0.001729,35,8
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001647,0.001581,0.001634,0.001485,0.001705,0.001575,0.001415,0.001682,0.001614,36,8
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001473,0.001457,0.00165,0.00146,0.001719,0.001695,0.001359,0.001545,0.001592,37,8
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0015,0.002402,0.001468,0.001566,0.001555,0.001508,0.001526,0.002285,38,8
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001633,0.001558,0.001695,0.001437,0.001438,0.001468,0.001374,0.001477,0.001388,39,8
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001884,0.001282,0.00207,0.000494,0.001504,0.000679,0.001188,0.000542,0.000678,16,9
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008675,0.008608,0.006859,0.009835,0.003637,0.007996,0.007021,0.007939,0.007767,17,9
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008172,0.000869,0.000956,0.00418,0.00893,0.000442,0.00998,0.013659,0.011566,18,9
3,0.001116,0.001707,0.00046,0.004204,0.003026,0.003429,0.0046,0.010003,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,9
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014825,0.000408,0.006536,0.016357,0.004775,0.031397,0.011576,0.001137,0.010774,20,9
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014114,0.029118,0.025546,0.032863,0.032944,0.021797,0.009391,0.034911,0.02677,21,9
6,0.0,0.0,0.006602,0.0,0.0,0.001438,0.0,0.0,0.0,0.002152,0.019546,0.0,0.001,0.012183,0.0,0.01984,0.015955,0.002892,22,9
7,0.001614,0.010786,0.005546,0.0,0.003152,0.004253,0.009567,0.021401,0.013054,0.0,0.0,0.0,0.002336,0.0,0.0,0.0,0.0,0.0,23,9
8,0.004795,0.0,0.0,0.0,0.006176,0.0,0.0,0.0,0.0,0.0,0.009342,0.017845,0.000525,0.0,0.002451,0.007802,0.028622,0.01473,24,9
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015572,0.032032,0.028048,0.012394,0.014023,0.012675,0.015253,0.019591,0.020678,25,9
10,0.004435,0.001435,0.003845,0.0,0.005071,0.004981,0.010631,0.005834,0.002338,0.0,0.0,0.0,6.4e-05,0.0,0.0,0.0,0.0,0.0,26,9
11,0.0,9.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000479,0.01817,0.0,0.014595,0.0,0.012606,0.020936,0.019117,0.003004,0.0,27,9
12,0.001689,0.001148,0.000581,0.0,0.000952,0.001454,0.000717,0.002395,0.002028,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.0,0.0,28,9
13,0.001066,0.004852,0.001475,0.0,0.00127,0.001628,0.0,0.002684,0.001679,0.0,0.0,0.0,0.000936,0.0,0.0,0.000176,0.0,0.0,29,9
14,0.000835,0.000931,0.0,0.0,0.000915,0.000874,0.0,0.001502,0.001565,0.0,0.0,0.001349,0.000279,0.0,0.0,0.000548,0.0,0.0,30,9
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009522,0.018362,0.000999,0.018531,0.011088,0.015219,0.005476,0.016185,0.01282,31,9
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021652,0.023931,0.018311,0.023372,0.022771,0.024321,0.020383,0.022979,0.016426,32,9
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001792,0.001719,0.004819,0.00143,0.002137,0.003506,0.002033,0.002056,0.00402,33,9
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005574,0.005461,0.01049,0.007332,0.003766,0.003835,0.008021,0.006059,0.011531,34,9
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00209,0.001984,0.001657,0.002729,0.002505,0.002273,0.001911,0.002643,0.001729,35,9
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001647,0.001581,0.001634,0.001485,0.001705,0.001575,0.001415,0.001682,0.001614,36,9
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001473,0.001457,0.00165,0.00146,0.001719,0.001695,0.001359,0.001545,0.001592,37,9
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0015,0.002402,0.001468,0.001566,0.001555,0.001508,0.001526,0.002285,38,9
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001633,0.001558,0.001695,0.001437,0.001438,0.001468,0.001374,0.001477,0.001388,39,9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001884,0.001282,0.00207,0.000494,0.001504,0.000679,0.001188,0.000542,0.000678,16,10
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008675,0.008608,0.006859,0.009835,0.003637,0.007996,0.007021,0.007939,0.007767,17,10
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008172,0.000869,0.000956,0.00418,0.00893,0.000442,0.00998,0.013659,0.011566,18,10
3,0.001116,0.001707,0.00046,0.004204,0.003026,0.003429,0.0046,0.010003,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,10
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014825,0.000408,0.006536,0.016357,0.004775,0.031397,0.011576,0.001137,0.010774,20,10
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014114,0.029118,0.025546,0.032863,0.032944,0.021797,0.009391,0.034911,0.02677,21,10
6,0.0,0.0,0.006602,0.0,0.0,0.001438,0.0,0.0,0.0,0.002152,0.019546,0.0,0.001,0.012183,0.0,0.01984,0.015955,0.002892,22,10
7,0.001614,0.010786,0.005546,0.0,0.003152,0.004253,0.009567,0.021401,0.013054,0.0,0.0,0.0,0.002336,0.0,0.0,0.0,0.0,0.0,23,10
8,0.004795,0.0,0.0,0.0,0.006176,0.0,0.0,0.0,0.0,0.0,0.009342,0.017845,0.000525,0.0,0.002451,0.007802,0.028622,0.01473,24,10
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015572,0.032032,0.028048,0.012394,0.014023,0.012675,0.015253,0.019591,0.020678,25,10
10,0.004435,0.001435,0.003845,0.0,0.005071,0.004981,0.010631,0.005834,0.002338,0.0,0.0,0.0,6.4e-05,0.0,0.0,0.0,0.0,0.0,26,10
11,0.0,9.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000479,0.01817,0.0,0.014595,0.0,0.012606,0.020936,0.019117,0.003004,0.0,27,10
12,0.001689,0.001148,0.000581,0.0,0.000952,0.001454,0.000717,0.002395,0.002028,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.0,0.0,28,10
13,0.001066,0.004852,0.001475,0.0,0.00127,0.001628,0.0,0.002684,0.001679,0.0,0.0,0.0,0.000936,0.0,0.0,0.000176,0.0,0.0,29,10
14,0.000835,0.000931,0.0,0.0,0.000915,0.000874,0.0,0.001502,0.001565,0.0,0.0,0.001349,0.000279,0.0,0.0,0.000548,0.0,0.0,30,10
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009522,0.018362,0.000999,0.018531,0.011088,0.015219,0.005476,0.016185,0.01282,31,10
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021652,0.023931,0.018311,0.023372,0.022771,0.024321,0.020383,0.022979,0.016426,32,10
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001792,0.001719,0.004819,0.00143,0.002137,0.003506,0.002033,0.002056,0.00402,33,10
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005574,0.005461,0.01049,0.007332,0.003766,0.003835,0.008021,0.006059,0.011531,34,10
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00209,0.001984,0.001657,0.002729,0.002505,0.002273,0.001911,0.002643,0.001729,35,10
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001647,0.001581,0.001634,0.001485,0.001705,0.001575,0.001415,0.001682,0.001614,36,10
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001473,0.001457,0.00165,0.00146,0.001719,0.001695,0.001359,0.001545,0.001592,37,10
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0015,0.002402,0.001468,0.001566,0.001555,0.001508,0.001526,0.002285,38,10
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001633,0.001558,0.001695,0.001437,0.001438,0.001468,0.001374,0.001477,0.001388,39,10
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001884,0.001282,0.00207,0.000494,0.001504,0.000679,0.001188,0.000542,0.000678,16,11
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008675,0.008608,0.006859,0.009835,0.003637,0.007996,0.007021,0.007939,0.007767,17,11
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008172,0.000869,0.000956,0.00418,0.00893,0.000442,0.00998,0.013659,0.011566,18,11
3,0.001116,0.001707,0.00046,0.004204,0.003026,0.003429,0.0046,0.010003,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,11
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014825,0.000408,0.006536,0.016357,0.004775,0.031397,0.011576,0.001137,0.010774,20,11
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014114,0.029118,0.025546,0.032863,0.032944,0.021797,0.009391,0.034911,0.02677,21,11
6,0.0,0.0,0.006602,0.0,0.0,0.001438,0.0,0.0,0.0,0.002152,0.019546,0.0,0.001,0.012183,0.0,0.01984,0.015955,0.002892,22,11
7,0.001614,0.010786,0.005546,0.0,0.003152,0.004253,0.009567,0.021401,0.013054,0.0,0.0,0.0,0.002336,0.0,0.0,0.0,0.0,0.0,23,11
8,0.004795,0.0,0.0,0.0,0.006176,0.0,0.0,0.0,0.0,0.0,0.009342,0.017845,0.000525,0.0,0.002451,0.007802,0.028622,0.01473,24,11
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015572,0.032032,0.028048,0.012394,0.014023,0.012675,0.015253,0.019591,0.020678,25,11
10,0.004435,0.001435,0.003845,0.0,0.005071,0.004981,0.010631,0.005834,0.002338,0.0,0.0,0.0,6.4e-05,0.0,0.0,0.0,0.0,0.0,26,11
11,0.0,9.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000479,0.01817,0.0,0.014595,0.0,0.012606,0.020936,0.019117,0.003004,0.0,27,11
12,0.001689,0.001148,0.000581,0.0,0.000952,0.001454,0.000717,0.002395,0.002028,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.0,0.0,28,11
13,0.001066,0.004852,0.001475,0.0,0.00127,0.001628,0.0,0.002684,0.001679,0.0,0.0,0.0,0.000936,0.0,0.0,0.000176,0.0,0.0,29,11
14,0.000835,0.000931,0.0,0.0,0.000915,0.000874,0.0,0.001502,0.001565,0.0,0.0,0.001349,0.000279,0.0,0.0,0.000548,0.0,0.0,30,11
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009522,0.018362,0.000999,0.018531,0.011088,0.015219,0.005476,0.016185,0.01282,31,11
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021652,0.023931,0.018311,0.023372,0.022771,0.024321,0.020383,0.022979,0.016426,32,11
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001792,0.001719,0.004819,0.00143,0.002137,0.003506,0.002033,0.002056,0.00402,33,11
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005574,0.005461,0.01049,0.007332,0.003766,0.003835,0.008021,0.006059,0.011531,34,11
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00209,0.001984,0.001657,0.002729,0.002505,0.002273,0.001911,0.002643,0.001729,35,11
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001647,0.001581,0.001634,0.001485,0.001705,0.001575,0.001415,0.001682,0.001614,36,11
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001473,0.001457,0.00165,0.00146,0.001719,0.001695,0.001359,0.001545,0.001592,37,11
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0015,0.002402,0.001468,0.001566,0.001555,0.001508,0.001526,0.002285,38,11
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001633,0.001558,0.001695,0.001437,0.001438,0.001468,0.001374,0.001477,0.001388,39,11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001884,0.001282,0.00207,0.000494,0.001504,0.000679,0.001188,0.000542,0.000678,16,12
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008675,0.008608,0.006859,0.009835,0.003637,0.007996,0.007021,0.007939,0.007767,17,12
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008172,0.000869,0.000956,0.00418,0.00893,0.000442,0.00998,0.013659,0.011566,18,12
3,0.001116,0.001707,0.00046,0.004204,0.003026,0.003429,0.0046,0.010003,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,12
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014825,0.000408,0.006536,0.016357,0.004775,0.031397,0.011576,0.001137,0.010774,20,12
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014114,0.029118,0.025546,0.032863,0.032944,0.021797,0.009391,0.034911,0.02677,21,12
6,0.0,0.0,0.006602,0.0,0.0,0.001438,0.0,0.0,0.0,0.002152,0.019546,0.0,0.001,0.012183,0.0,0.01984,0.015955,0.002892,22,12
7,0.001614,0.010786,0.005546,0.0,0.003152,0.004253,0.009567,0.021401,0.013054,0.0,0.0,0.0,0.002336,0.0,0.0,0.0,0.0,0.0,23,12
8,0.004795,0.0,0.0,0.0,0.006176,0.0,0.0,0.0,0.0,0.0,0.009342,0.017845,0.000525,0.0,0.002451,0.007802,0.028622,0.01473,24,12
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015572,0.032032,0.028048,0.012394,0.014023,0.012675,0.015253,0.019591,0.020678,25,12
10,0.004435,0.001435,0.003845,0.0,0.005071,0.004981,0.010631,0.005834,0.002338,0.0,0.0,0.0,6.4e-05,0.0,0.0,0.0,0.0,0.0,26,12
11,0.0,9.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000479,0.01817,0.0,0.014595,0.0,0.012606,0.020936,0.019117,0.003004,0.0,27,12
12,0.001689,0.001148,0.000581,0.0,0.000952,0.001454,0.000717,0.002395,0.002028,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.0,0.0,28,12
13,0.001066,0.004852,0.001475,0.0,0.00127,0.001628,0.0,0.002684,0.001679,0.0,0.0,0.0,0.000936,0.0,0.0,0.000176,0.0,0.0,29,12
14,0.000835,0.000931,0.0,0.0,0.000915,0.000874,0.0,0.001502,0.001565,0.0,0.0,0.001349,0.000279,0.0,0.0,0.000548,0.0,0.0,30,12
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009522,0.018362,0.000999,0.018531,0.011088,0.015219,0.005476,0.016185,0.01282,31,12
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021652,0.023931,0.018311,0.023372,0.022771,0.024321,0.020383,0.022979,0.016426,32,12
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001792,0.001719,0.004819,0.00143,0.002137,0.003506,0.002033,0.002056,0.00402,33,12
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005574,0.005461,0.01049,0.007332,0.003766,0.003835,0.008021,0.006059,0.011531,34,12
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00209,0.001984,0.001657,0.002729,0.002505,0.002273,0.001911,0.002643,0.001729,35,12
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001647,0.001581,0.001634,0.001485,0.001705,0.001575,0.001415,0.001682,0.001614,36,12
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001473,0.001457,0.00165,0.00146,0.001719,0.001695,0.001359,0.001545,0.001592,37,12
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0015,0.002402,0.001468,0.001566,0.001555,0.001508,0.001526,0.002285,38,12
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001633,0.001558,0.001695,0.001437,0.001438,0.001468,0.001374,0.001477,0.001388,39,12
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001884,0.001282,0.00207,0.000494,0.001504,0.000679,0.001188,0.000542,0.000678,16,13
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008675,0.008608,0.006859,0.009835,0.003637,0.007996,0.007021,0.007939,0.007767,17,13
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008172,0.000869,0.000956,0.00418,0.00893,0.000442,0.00998,0.013659,0.011566,18,13
3,0.001116,0.001707,0.00046,0.004204,0.003026,0.003429,0.0046,0.010003,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,13
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014825,0.000408,0.006536,0.016357,0.004775,0.031397,0.011576,0.001137,0.010774,20,13
